name,name_vn,lat,lon,frc,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,crossTime,trafficVolume,occupancy,LOS
Đường 19A,Đường AMATA,10.9273,106.876232,FRC2,26.0,37.0,,0.7027027027027027,69.23076923076924,NA,NA,B
Đường 25A4,Đường 25A4,10.802811,106.460021,FRC3,36.0,49.5,,0.7272727272727273,50.0,NA,NA,B
Đường 3A,Đường Số 19A,10.9273,106.876232,FRC2,26.0,37.0,,0.7027027027027027,69.23076923076924,NA,NA,B
Đường 5A,Đường 5A,10.37443,106.365149,FRC4,36.0,48.5,,0.7425595238095238,50.03861003861004,NA,NA,B
Đường A,Đường A,10.78688,106.741368,FRC4,26.875,42.375,,0.6357272360999194,69.08902691511386,NA,NA,C
Đường A12,Đường Võ Thị Sáu,10.946201,106.832678,FRC2,19.5,40.5,,0.48148148148148145,92.3076923076923,NA,NA,D
Đường A4,Đường Số 1,10.790296,106.776622,FRC2,32.0,39.0,,0.8205128205128205,56.25,NA,NA,B
Đường A6,Đường A6,10.791924,106.779911,FRC2,21.75,38.75,,0.5606893106893107,85.29411764705883,NA,NA,C
Đường AMATA,Đường AMATA,10.943246,106.88015,FRC4,22.5,43.5,,0.5172413793103449,80.0,NA,NA,C
Đường ASO2,Đường ASO2,10.933142,106.655164,FRC2,26.0,43.0,,0.6046511627906976,69.23076923076924,NA,NA,C
Đường C,Đường C,10.890601,106.760938,FRC4,23.166666666666668,36.333333333333336,,0.6376204972095383,77.7536231884058,NA,NA,C
Đường C1,Đường C1,10.93477,106.746741,FRC4,30.5,41.5,,0.7349397590361446,59.016393442622956,NA,NA,B
Đường C4,Đường C4,10.820815,106.623185,FRC2,18.0,35.5,,0.5070422535211268,100.0,NA,NA,C
Đường Calmette,Đường Calmette,10.767244,106.699747,FRC4,29.5,37.0,,0.7972972972972973,61.016949152542374,NA,NA,B
Đường D,Đường D,10.974183,106.666147,FRC2,19.5,35.75,,0.5447965571205008,95.38043478260869,NA,NA,C
Đường D1,Đường D1,10.705092,106.729791,FRC1,28.9,43.2,,0.668272394295038,63.15496302054663,NA,NA,C
Đường D13,Đường D13,10.96581,106.717819,FRC2,29.0,43.5,,0.6666666666666666,62.06896551724138,NA,NA,C
Đường D17,Đường N5,11.071149,106.667832,FRC4,36.25,45.25,,0.7958646616541354,51.724137931034484,NA,NA,B
Đường D2,Đường D2,11.055256,106.74904,FRC4,33.25,45.625,,0.7305761185737164,54.163465759438104,NA,NA,B
Đường D3,Đường D3,10.983096,106.481349,FRC4,33.7,45.8,,0.7285863038317457,56.308907511929576,NA,NA,B
Đường D400,Đường D400,10.87043,106.810551,FRC1,37.0,53.0,,0.6981132075471698,48.64864864864865,NA,NA,C
Đường D5,Đường D5,11.072027,106.664486,FRC4,39.5,45.0,,0.8777777777777778,45.56962025316456,NA,NA,B
Đường D6,Đường D2,10.687462,106.92295,FRC4,45.0,49.0,,0.9183673469387755,40.0,NA,NA,A
Đường D7,Đường D7,10.948363,106.829404,FRC2,30.5,42.666666666666664,,0.7078806170355466,67.1264367816092,NA,NA,B
Đường D8,Đường D8,10.973295,106.664066,FRC2,32.375,45.375,,0.6974065762668704,62.114669760946356,NA,NA,C
Đường DA5,Đường DA5,11.136124,106.63392,FRC3,42.0,51.0,,0.8235294117647058,42.857142857142854,NA,NA,B
Đường DB5,Đường DB5,11.146937,106.605754,FRC3,42.0,55.0,,0.7636363636363637,42.857142857142854,NA,NA,B
Đường DE7,Đường DE7,11.139737,106.658972,FRC3,38.0,52.0,,0.7307692307692307,47.368421052631575,NA,NA,B
Đường DH1,Đường DH1,11.122464,106.634848,FRC4,50.0,50.0,,1.0,36.0,NA,NA,A
Đường DH2,Đường DE7,11.125934,106.63557,FRC4,48.5,48.5,,1.0,37.113402061855666,NA,NA,A
Đường E,Đường E,10.86986,106.968833,FRC2,38.5,56.5,,0.6814159292035398,46.753246753246756,NA,NA,C
Đường G,Đường Đông Minh,10.889705,106.761685,FRC2,24.0,40.0,,0.6,75.0,NA,NA,C
Đường G1,Đường Quốc Lộ 1A,10.804684,106.590008,FRC1,24.5,46.5,,0.5268817204301075,73.46938775510203,NA,NA,C
Đường K,Đường K,10.891102,106.764057,FRC4,20.5,38.0,,0.5394736842105263,87.8048780487805,NA,NA,C
Đường KH1,Đường NH9,11.122438,106.638926,FRC4,48.5,48.5,,1.0,37.113402061855666,NA,NA,A
Đường L,Đường L,10.889029,106.764179,FRC4,23.5,29.5,,0.7966101694915254,76.59574468085106,NA,NA,B
Đường Libi,Đường Libi,10.689122,106.745688,FRC4,29.5,38.0,,0.7763157894736842,61.016949152542374,NA,NA,B
Đường N,Đường N,10.727542,106.715918,FRC4,23.5,36.25,,0.6482115677321156,76.63043478260869,NA,NA,C
Đường N1,Đường N1,11.125699,106.606624,FRC4,39.5,48.75,,0.8094577367621181,45.94123281496506,NA,NA,B
Đường N14,Đường Nguyễn Văn Linh,11.099437,106.678558,FRC3,36.5,50.0,,0.73,49.31506849315068,NA,NA,B
Đường N2,Đường N2,11.02157,106.692922,FRC4,40.4,50.3,,0.8052601689953134,46.42297513264607,NA,NA,B
Đường N3,Đường D2,11.056533,106.749054,FRC4,35.75,46.25,,0.7732585320243104,50.54988216810683,NA,NA,B
Đường N4,Đường N4,11.127016,106.604306,FRC4,46.0,55.0,,0.8363636363636363,39.130434782608695,NA,NA,B
Đường N5,Đường N5,11.070974,106.667164,FRC4,29.0,38.0,,0.7631578947368421,62.06896551724138,NA,NA,B
Đường N6,Đường N6,11.027035,106.689562,FRC4,47.0,57.833333333333336,,0.8266294303109372,38.724410373894905,NA,NA,B
Đường N7,Đường N7,11.125033,106.595931,FRC2,36.0,45.5,,0.7872393247269116,51.96471531676022,NA,NA,B
Đường N8,Đường D9,11.124605,106.592058,FRC2,34.75,46.75,,0.7464438122332859,53.25670498084291,NA,NA,B
Đường N9,Đường N9,11.02878,106.689722,FRC4,40.5,48.0,,0.84375,44.44444444444444,NA,NA,B
Đường NA2,Đường NA2,11.142484,106.619634,FRC3,40.5,49.5,,0.8181818181818182,44.44444444444444,NA,NA,B
Đường NA3,Đường NA3,11.139737,106.658972,FRC3,38.0,52.0,,0.7307692307692307,47.368421052631575,NA,NA,B
Đường NA4,Đường NA4,11.135671,106.628096,FRC3,40.0,47.0,,0.851063829787234,45.0,NA,NA,B
Đường NA5,Đường DA5,11.132522,106.623948,FRC3,42.5,49.5,,0.8585858585858586,42.35294117647059,NA,NA,B
Đường NH4,Đường DE7,11.125928,106.636323,FRC4,48.5,48.5,,1.0,37.113402061855666,NA,NA,A
Đường NH8,Đường DE7,11.123116,106.63785,FRC4,50.0,50.0,,1.0,36.0,NA,NA,A
Đường NH9,Đường NH9,11.122446,106.636298,FRC4,50.0,50.0,,1.0,36.0,NA,NA,A
Đường P,Đường Nguyễn Thị Thập,10.725114,106.714604,FRC1,29.0,42.5,,0.6823529411764706,62.06896551724138,NA,NA,C
Đường Pasteur,Đường Pasteur,10.779562,106.696901,FRC2,16.5,34.0,,0.4852941176470588,109.0909090909091,NA,NA,D
Đường T12,Đường Liên Ấp 2-3-4,10.664578,106.580163,FRC1,34.0,47.0,,0.723404255319149,52.94117647058823,NA,NA,B
Đường T6,Đường T3,10.810355,106.617717,FRC2,17.0,35.0,,0.4857142857142857,105.88235294117646,NA,NA,D
Đường VD4,Đường VD4,11.101729,106.590319,FRC2,36.5,48.0,,0.7604166666666666,49.31506849315068,NA,NA,B
Đường YERSIN,Đường YERSIN,10.768273,106.696886,FRC2,12.5,31.5,,0.3968253968253968,144.0,NA,NA,D
