segmentId,weather_date,latitude_lookup,longitude_lookup,weathercode,weathercode_unit,weather_description,temperature_2m_max,temperature_2m_max_unit,temperature_2m_min,temperature_2m_min_unit,apparent_temperature_max,apparent_temperature_max_unit,apparent_temperature_min,apparent_temperature_min_unit,sunrise,sunrise_unit,sunset,sunset_unit,uv_index_max,precipitation_sum,precipitation_sum_unit,precipitation_probability_max,precipitation_probability_max_unit,windspeed_10m_max,windspeed_10m_max_unit,windgusts_10m_max,windgusts_10m_max_unit,winddirection_10m_dominant,winddirection_10m_dominant_unit,time,time_unit
2016fae29720e80048b5a8d7ea8a84a8,2025-12-08-18-17,10.7565,106.7024,3,wmo code,Trời nhiều mây,30.0,°C,19.8,°C,33.6,°C,20.7,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,8.2,km/h,18.4,km/h,344,°,2025-12-08,iso8601
3ef73e396466c2064083ffd1d6d7db30,2025-12-08-18-38,10.7904,106.657,3,wmo code,Trời nhiều mây,30.3,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
c6a567f43c47b41238fa4ec6b881889a,2025-12-08-18-36,10.7651,106.7072,3,wmo code,Trời nhiều mây,30.0,°C,19.8,°C,33.6,°C,20.7,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,8.2,km/h,18.4,km/h,344,°,2025-12-08,iso8601
45b1b3b95545b4b05224dd0d92480fd6,2025-12-08-18-42,10.8296,106.5951,3,wmo code,Trời nhiều mây,30.1,°C,19.3,°C,33.8,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,0,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
2b4070260e2726ad3905ed6b34017434,2025-12-08-18-46,10.856,106.785,3,wmo code,Trời nhiều mây,30.2,°C,19.4,°C,33.9,°C,20.3,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
05aedb10f20e8c3eb8a216b9c3334501,2025-12-08-18-46,10.7859,106.8534,3,wmo code,Trời nhiều mây,30.1,°C,20.7,°C,33.8,°C,21.9,°C,2025-12-08T05:59,iso8601,2025-12-08T17:29,iso8601,7.35,0.1,mm,5,%,8.0,km/h,18.4,km/h,347,°,2025-12-08,iso8601
d9e1d8b94cec807a05fc468dc86b9c78,2025-12-08-18-44,10.761,106.7005,3,wmo code,Trời nhiều mây,30.0,°C,19.8,°C,33.7,°C,20.8,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,8.2,km/h,18.4,km/h,344,°,2025-12-08,iso8601
71f93cf8ea9aaf48105f9b0698e6d2d9,2025-12-08-18-32,10.7736,106.6614,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
3d0fa54c033be561ff58713143b26e73,2025-12-08-18-17,10.6888,106.5897,3,wmo code,Trời nhiều mây,30.3,°C,19.5,°C,33.4,°C,20.3,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,0,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
cb19f4ec4fb65fd0ede65fb5ba4bb487,2025-12-08-18-47,10.7883,106.6851,3,wmo code,Trời nhiều mây,30.3,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
8f74804e41a4d09c93121dec7f75639b,2025-12-08-18-32,10.7713,106.6737,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
edd04a4ad93a14c44c8817dc0837f268,2025-12-08-18-36,10.7597,106.6588,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
41723ba1c376e35d2c57eeffc1efaf49,2025-12-08-18-48,10.7827,106.6725,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
0da7a0c372bed2f60ce19a48bf5305e9,2025-12-08-18-42,10.7983,106.6675,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
e23d7725d49882c6f00ded48b8b3c83a,2025-12-08-18-46,10.7884,106.6565,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
781c8b16c457964f56e5df5fe4d2fe98,2025-12-08-18-46,10.8011,106.6194,3,wmo code,Trời nhiều mây,30.3,°C,19.5,°C,33.4,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,0,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
159f25108169fb3c404f3cfcec9c30d2,2025-12-08-18-44,10.8667,106.7618,3,wmo code,Trời nhiều mây,30.0,°C,19.2,°C,33.7,°C,20.0,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
b53cf89bf433baa10711717ee40602f8,2025-12-08-18-47,10.8235,106.7136,3,wmo code,Trời nhiều mây,30.2,°C,19.4,°C,33.9,°C,20.3,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
46fc423d727b252cc98937db8a8b6798,2025-12-08-18-49,10.7592,106.6612,3,wmo code,Trời nhiều mây,30.2,°C,19.5,°C,33.3,°C,20.1,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
cb4335a416d83971695b8a9fe1614d99,2025-12-08-18-48,10.8867,106.5897,3,wmo code,Trời nhiều mây,30.1,°C,19.3,°C,33.8,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,0,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
b38f64d6ca9f83b275adfe80fb653f6f,2025-12-08-18-17,10.8883,106.7761,3,wmo code,Trời nhiều mây,30.1,°C,19.3,°C,33.8,°C,20.2,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,0,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
e62b460cb5dfffa330bf11b4536e472d,2025-12-08-18-32,10.8422,106.7634,3,wmo code,Trời nhiều mây,30.1,°C,19.3,°C,33.8,°C,20.2,°C,2025-12-08T05:59,iso8601,2025-12-08T17:30,iso8601,7.35,0.0,mm,5,%,10.2,km/h,21.6,km/h,3,°,2025-12-08,iso8601
bf49a14c2b009c4a36d6796e6015b9f2,2025-12-08-18-36,10.768,106.6679,3,wmo code,Trời nhiều mây,30.3,°C,19.5,°C,33.3,°C,20.2,°C,2025-12-08T06:00,iso8601,2025-12-08T17:30,iso8601,7.4,0.0,mm,5,%,10.4,km/h,22.0,km/h,359,°,2025-12-08,iso8601
