name,segmentId,name_vn,lat,lon,roadType,laneCount,frc,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,crossTime,trafficVolume,occupancy,speedLimit,incidentFlag,LOS,timeStamp,dayOfWeek,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,surface,oneway,width,ref,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation,hourOfDay,dayType,speedLimitRatio,relativeCongestionIndex,route_distance_m,route_duration_sec,route_weight,congestion_levels,map_match_confidence
Đường 19A,df23d9968bf8749d1cd7a76eb58b42bb,Đường AMATA,10.9273,106.876232,FRC2,1.0,FRC2,28.0,37.0,0.0,0.7567567567567568,64.28571428571428,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường 3A,677719f01ed4f1f6df13042a3758d716,Đường AMATA,10.9273,106.876232,FRC2,1.0,FRC2,28.0,37.0,0.0,0.7567567567567568,64.28571428571428,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường 5A,50e8c9f1995c819c65ed78642ff1ae60,Đường 5A,10.37443,106.365149,FRC4,1.0,FRC4,34.25,48.0,0.0,0.7135416666666667,52.62483994878362,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường 7A,f06b8b9fe97ff224dd559376e24fd845,Đường 7A,11.144947,106.579858,FRC4,1.0,FRC4,37.0,41.0,0.0,0.902439024390244,48.64864864864865,,,50.0,0,A,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường A,7fb55038649112f1ef41cb87fbcce9f8,Đường A,10.857868,106.604803,FRC4,1.0,FRC4,31.33333333333333,41.833333333333336,0.0,0.7509003074220466,60.32380151387721,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường A12,80dfc8b87cba531b6799a79456ec983d,Đường A12,10.946201,106.832678,FRC2,1.0,FRC2,21.5,40.5,0.0,0.5308641975308642,83.72093023255813,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường A4,8de8291d1c7186b611e5f75ca2be6a54,Đường A4,10.790296,106.776622,FRC2,1.0,FRC2,32.5,39.0,0.0,0.8333333333333334,55.38461538461539,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường A6,232d6a28a3ca7ef8528eb545d8c03a04,Đường Số 8,10.791924,106.779911,FRC2,1.0,FRC2,24.0,39.0,0.0,0.6153846153846154,76.62971175166297,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường AMATA,e4a09ece1429180ce60c60378609b197,Đường Yết Kiêu,10.943246,106.88015,FRC4,1.0,FRC4,28.0,43.0,0.0,0.6511627906976745,64.28571428571428,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường ASO2,efd7a5ed8e8865c45083ceb793042948,Đường ASO2,10.933142,106.655164,FRC2,1.0,FRC2,27.5,43.5,0.0,0.632183908045977,65.45454545454545,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường C,3ecd6e7a9883d365a93c772645879068,Đường C,10.723508,106.727987,FRC3,1.0,FRC3,22.125,37.125,0.0,0.5960140791476408,82.11734693877551,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường C1,01ae118c4152e0eb43306a6f22c315a3,Đường C1,10.93477,106.746741,FRC4,1.0,FRC4,33.0,41.5,0.0,0.7951807228915663,54.54545454545455,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường CN1,4599a752b4131a4c74aba5c8454566bf,Đường CN1,10.816165,106.611236,FRC4,1.0,FRC4,19.0,41.5,0.0,0.4578313253012048,94.73684210526316,,,50.0,0,D,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường Calmette,fb1aff9360a887b23e03c866fa2c17b8,Đường Calmette,10.767244,106.699747,FRC4,1.0,FRC4,31.0,37.0,0.0,0.8378378378378378,58.064516129032256,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D,7bad4c1f1e0467463cb91029922db904,Đường Huỳnh Văn Nghệ,10.974183,106.666147,FRC2,1.0,FRC2,22.25,36.0,0.0,0.6165348253907004,83.9622641509434,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D1,c1d99d888ec49e265dca90ce0f8eaf3d,Đường Hoàng Quốc Việt,10.705092,106.729791,FRC3,1.0,FRC3,29.4,42.6,0.0,0.6884207969136924,62.327149332198495,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D13,6e3fb758073a73bed126f9b600459af5,Đường Tỉnh Lộ 743,10.96581,106.717819,FRC2,1.0,FRC2,28.0,44.0,0.0,0.6363636363636364,64.28571428571428,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D15,e1c5b1f9280a1f057cc42a3b139b3144,Đường N6,10.685056,106.928928,FRC4,1.0,FRC4,42.5,48.5,0.0,0.8762886597938144,42.35294117647059,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D17,cfa9dc8013211b16db0683e0ed7a1ba0,Đường D17,11.071149,106.667832,FRC4,1.0,FRC4,29.0,39.0,0.0,0.7435897435897436,62.06896551724138,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D2,524b2aafa6919bf0125855405fe2d66a,Đường Số 12,10.829731,106.803957,FRC4,1.0,FRC4,35.125,45.75,0.0,0.7713601952719823,51.38981935519676,,,50.0,0,A,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D3,5eaa1eeae777045e7c2ae9654a51e367,Đường N2,11.058775,106.753883,FRC4,1.0,FRC4,35.375,46.0,0.0,0.7632430293720616,52.63635991931527,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D400,6308cddb067ef811772c54fc1eab7d6c,Đường D400,10.87043,106.810551,FRC1,1.0,FRC1,38.0,54.0,0.0,0.7037037037037037,47.368421052631575,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D5,970ec9b472864322b1996c907fcc2b6a,Đường D5,11.072027,106.664486,FRC4,1.0,FRC4,35.5,45.0,0.0,0.7888888888888889,50.70422535211268,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D6,4e51004d0a9b8f561747a9df4c819f66,Đường D6,10.687462,106.92295,FRC4,1.0,FRC4,46.5,49.0,0.0,0.9489795918367347,38.70967741935484,,,50.0,0,A,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D7,a03cf343ab764ef84048245b4359e2ff,Đường D7,10.930822,106.771712,FRC4,1.0,FRC4,31.0,42.66666666666666,0.0,0.7187961099932932,63.4171635986518,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D8,1795f9ec7450ed1e91fc40d4da5a7662,Đường Ngô Gia Tự,10.973295,106.664066,FRC2,1.0,FRC2,28.33333333333333,43.16666666666666,0.0,0.6534027987516359,65.83054626532888,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường D9,6545dbe8a94aad17180b9239f4bee18b,Đường D9,11.125468,106.599774,FRC7,1.0,FRC7,38.0,47.0,0.0,0.8085106382978723,47.368421052631575,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường DA5,2ad4391df38566151dcf5d09ad259d22,Đường DA5,11.136124,106.63392,FRC3,1.0,FRC3,43.0,50.5,0.0,0.8514851485148515,41.860465116279066,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường DB5,c4b2337678f03e7df03489e5b5a3e4f6,Đường DB5,11.146937,106.605754,FRC3,1.0,FRC3,42.5,55.0,0.0,0.7727272727272727,42.35294117647059,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường DE7,d4e537ef947d3eebfe8a7fd7c9d6df74,Đường DE7,11.139737,106.658972,FRC3,1.0,FRC3,37.5,52.0,0.0,0.7211538461538461,48.0,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường DH1,b58e0853e2b5b4443eebf45b46b01847,Đường NH9,11.122464,106.634848,FRC4,1.0,FRC4,50.0,50.0,0.0,1.0,36.0,,,50.0,0,A,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường DH2,313325809330fc43ec4c572f7ebff85b,Đường DE7,11.125934,106.63557,FRC4,1.0,FRC4,48.5,48.5,0.0,1.0,37.11340206185567,,,50.0,0,A,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường E,673c76525d01436ca4124876209d184e,Đường E,10.86986,106.968833,FRC2,1.0,FRC2,45.0,56.5,0.0,0.7964601769911505,40.0,,,50.0,0,B,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường G,61c7742c686e5b97b1c4edff2c1bd54f,Đường Đông Minh,10.889705,106.761685,FRC2,1.0,FRC2,22.5,40.5,0.0,0.5555555555555556,80.0,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường G1,24957e572f871b520c49534d66844cde,Đường G1,10.804684,106.590008,FRC1,1.0,FRC1,25.5,47.0,0.0,0.5425531914893617,70.58823529411765,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường K,ed26e8f64823d660603b3a8960325117,Đường Võ Thị Sáu,10.891102,106.764057,FRC4,1.0,FRC4,19.5,38.0,0.0,0.5131578947368421,92.3076923076923,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường KH1,7f7cd8e1bd0d53547cc69e557f09597f,Đường KH1,11.122438,106.638926,FRC4,1.0,FRC4,48.5,48.5,0.0,1.0,37.11340206185567,,,50.0,0,A,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường L,57d636b6b138789e758c0af2e4933b88,Đường L,10.889029,106.764179,FRC4,1.0,FRC4,19.5,29.5,0.0,0.6610169491525424,92.3076923076923,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường Libi,756e160a81de315b3f05ac161ca1c9a7,Đường Libi,10.689122,106.745688,FRC3,1.0,FRC3,21.0,35.0,0.0,0.6,85.71428571428571,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đường N,3ab84082c1702ef4974d1ef55bef38e8,Đường N,10.88813,106.765336,FRC4,1.0,FRC4,23.25,36.5,0.0,0.636986301369863,78.9622641509434,,,50.0,0,C,2510011723,2,,,,,,asphalt,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
