roadType,laneCount,speedLimit,surface,oneway,bridgeTunnel,name_vn,bearing,length_m,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,LOS,timeStamp,incidentFlag
,1,50,,,0,Đường Hương Lộ 8,80.895215755621,306.64251721900894,45,45,0,1.0,A,2602201802,0
,1,50,,,0,,238.0973284960429,4225.604367695022,25,32,0,0.78125,B,2602201802,0
,1,50,,,0,,61.10044429637725,986.5028614360992,25,33,0,0.7575757575757576,B,2602201802,0
,1,50,,,0,Đường 3 Tháng 2,240.66868879060385,1366.078364478109,25,33,0,0.7575757575757576,B,2602201802,0
,1,50,,,0,,242.2443312027392,721.9289409238136,25,31,0,0.8064516129032258,B,2602201802,0
,1,50,,,0,Đường 3 Tháng 2,62.58883332691562,526.5754138129072,25,33,0,0.7575757575757576,B,2602201802,0
tertiary,2,50,asphalt,,0,Đường 3 Tháng 2,240.8511286794635,1819.121138646622,25,33,0,0.7575757575757576,B,2602201802,0
,1,50,,,0,Đường Hàn Hải Nguyên,61.09136239332747,2997.6867161454884,25,33,0,0.7575757575757576,B,2602201802,0
,1,50,,,0,,241.76585897791853,862.6125382169273,25,31,0,0.8064516129032258,B,2602201802,0
,1,50,,,0,Đường 3 Tháng 2,240.66441499783247,316.03668699506727,25,32,0,0.78125,B,2602201802,0
,1,50,,,0,,79.35079638906012,374.8414681815748,28,35,0,0.8,B,2602201802,0
,1,50,,,0,Đường An Dương Vương,275.24828410350057,34.44292987896847,22,27,0,0.8148148148148148,B,2602201802,0
,1,50,,,0,Hẻm 39 An Phú Đông 9,160.32612168372327,7.653023712051052,48,48,0,1.0,A,2602201802,0
,1,50,,,0,Đường An Phú Đông 10,168.68856246342216,127.8061052352744,48,48,0,1.0,A,2602201802,0
,1,50,,,0,Hẻm 180 An Phú Đông 12,85.63998350174734,61.06629976203734,48,48,0,1.0,A,2602201802,0
,1,50,,,0,Đường Bà Hom,277.803665547431,25.333631568574464,27,35,0,0.7714285714285715,B,2602201802,0
tertiary_link,1,60,,yes,0,Đường Bà Huyện Thanh Quan,127.58084963362126,718.526387943095,20,28,0,0.7142857142857143,B,2602201802,0
,1,50,,,0,,159.68874917067615,243.44504255357936,24,34,0,0.7058823529411765,B,2602201802,0
