segmentId,weather_date,latitude_lookup,longitude_lookup,weathercode,weathercode_unit,weather_description,temperature_2m_max,temperature_2m_max_unit,temperature_2m_min,temperature_2m_min_unit,apparent_temperature_max,apparent_temperature_max_unit,apparent_temperature_min,apparent_temperature_min_unit,sunrise,sunrise_unit,sunset,sunset_unit,uv_index_max,precipitation_sum,precipitation_sum_unit,precipitation_probability_max,precipitation_probability_max_unit,windspeed_10m_max,windspeed_10m_max_unit,windgusts_10m_max,windgusts_10m_max_unit,winddirection_10m_dominant,winddirection_10m_dominant_unit,time,time_unit
fee52e621307b13a43564a2266b89bda,2025-11-07,10.7814,106.6433,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.7,°C,36.9,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
df5c224c39d21005bbac19fdc087dd6e,2025-11-07,10.766,106.6823,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.6,°C,36.8,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.35,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
df5c224c39d21005bbac19fdc087dd6e,2025-11-07,10.766,106.6823,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.6,°C,36.8,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.35,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
550260e29117fbbd7883acfc1a21b7d8,2025-11-07,10.7509,106.6836,96,wmo code,Dông kèm mưa đá nhỏ,30.7,°C,24.7,°C,37.0,°C,30.2,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.35,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
b4ef1b7c4e9d2bf3a2655c4d7bc5568a,2025-11-07,10.841,106.7045,96,wmo code,Dông kèm mưa đá nhỏ,30.0,°C,24.5,°C,37.4,°C,29.4,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
6989a713b71ab4d11d83bf019852bb1a,2025-11-07,10.8558,106.7839,96,wmo code,Dông kèm mưa đá nhỏ,29.9,°C,24.4,°C,37.3,°C,29.3,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
4e9b9bfd0bbeb0c9139122563e3d0a05,2025-11-07,10.8021,106.6451,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.6,°C,36.8,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
1b5b958c37a611a63e7132e95820b427,2025-11-07,10.7504,106.6602,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.6,°C,36.9,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.35,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
1b5b958c37a611a63e7132e95820b427,2025-11-07,10.7504,106.6602,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.6,°C,36.9,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.35,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
2b1fb9e1bc5fa7b343da8b13cf3429fd,2025-11-07,10.826,106.7145,96,wmo code,Dông kèm mưa đá nhỏ,30.0,°C,24.5,°C,37.4,°C,29.4,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
eaa1d8a0b5ee7587a574cab4779e8069,2025-11-07,10.7089,106.5726,96,wmo code,Dông kèm mưa đá nhỏ,30.7,°C,24.7,°C,37.0,°C,30.2,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.4,18.3,mm,85,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
99df86c7a8625aa398a1ea291a4256a0,2025-11-07,10.7852,106.6568,96,wmo code,Dông kèm mưa đá nhỏ,30.6,°C,24.6,°C,36.9,°C,30.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,18.3,mm,83,%,9.2,km/h,19.4,km/h,201,°,2025-11-07,iso8601
b8f135fa2b5d4ab8d9b6072920257679,2025-11-07,10.7537,106.7224,96,wmo code,Dông kèm mưa đá nhỏ,30.9,°C,24.9,°C,37.4,°C,30.2,°C,2025-11-07T05:45,iso8601,2025-11-07T17:27,iso8601,7.35,16.2,mm,83,%,9.7,km/h,22.7,km/h,211,°,2025-11-07,iso8601
295d4adfd20e4e1fd791b42819f8d8c0,2025-11-07,10.8581,106.7877,96,wmo code,Dông kèm mưa đá nhỏ,29.9,°C,24.4,°C,37.3,°C,29.4,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
295d4adfd20e4e1fd791b42819f8d8c0,2025-11-07,10.8581,106.7877,96,wmo code,Dông kèm mưa đá nhỏ,29.9,°C,24.4,°C,37.3,°C,29.4,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
98bf4ddfa98280fdc683c279a96e34c7,2025-11-07,10.8013,106.7109,96,wmo code,Dông kèm mưa đá nhỏ,30.9,°C,24.9,°C,37.4,°C,30.2,°C,2025-11-07T05:45,iso8601,2025-11-07T17:27,iso8601,7.55,16.2,mm,83,%,9.7,km/h,22.7,km/h,211,°,2025-11-07,iso8601
a17c6fe135ad61a9fc0b6afab1e722d1,2025-11-07,10.8463,106.6441,96,wmo code,Dông kèm mưa đá nhỏ,29.8,°C,24.3,°C,37.2,°C,29.2,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
ca1cb78203ebb2fc2b3988f17a4e58f2,2025-11-07,10.8724,106.7674,96,wmo code,Dông kèm mưa đá nhỏ,29.8,°C,24.3,°C,37.1,°C,29.1,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
9e87e65f14478d95d9cb204282304d19,2025-11-07,10.8434,106.7054,96,wmo code,Dông kèm mưa đá nhỏ,30.0,°C,24.5,°C,37.4,°C,29.4,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
fe89e81c704908a30c246e67aed9365a,2025-11-07,10.6818,106.5407,95,wmo code,"Dông, có sấm sét",31.2,°C,25.1,°C,37.2,°C,30.9,°C,2025-11-07T05:46,iso8601,2025-11-07T17:28,iso8601,7.4,16.2,mm,85,%,9.3,km/h,23.0,km/h,208,°,2025-11-07,iso8601
79e19c1649105ef8ca20fbe1590908a4,2025-11-07,10.8604,106.7908,96,wmo code,Dông kèm mưa đá nhỏ,29.9,°C,24.4,°C,37.3,°C,29.3,°C,2025-11-07T05:46,iso8601,2025-11-07T17:27,iso8601,7.55,14.4,mm,83,%,8.5,km/h,18.4,km/h,216,°,2025-11-07,iso8601
