segmentId,weather_date,latitude_lookup,longitude_lookup,weathercode,weathercode_unit,weather_description,temperature_2m_max,temperature_2m_max_unit,temperature_2m_min,temperature_2m_min_unit,apparent_temperature_max,apparent_temperature_max_unit,apparent_temperature_min,apparent_temperature_min_unit,sunrise,sunrise_unit,sunset,sunset_unit,uv_index_max,precipitation_sum,precipitation_sum_unit,precipitation_probability_max,precipitation_probability_max_unit,windspeed_10m_max,windspeed_10m_max_unit,windgusts_10m_max,windgusts_10m_max_unit,winddirection_10m_dominant,winddirection_10m_dominant_unit,time,time_unit
ebf87b8e8bc1f1e41da85eb7a3176824,2025-12-10-20-27,10.756,106.7606,80,wmo code,Mưa rào nhẹ,28.5,°C,23.7,°C,32.5,°C,26.9,°C,2025-12-10T06:00,iso8601,2025-12-10T17:31,iso8601,7.45,1.0,mm,53,%,8.4,km/h,23.4,km/h,11,°,2025-12-10,iso8601
a609c168641c7d2add8dbe3234cc80f7,2025-12-10-20-16,10.7593,106.6804,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.4,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.35,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
03a32720a21696ddc4450a75c1855641,2025-12-10-20-20,10.7743,106.6477,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.4,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.35,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
23b2f235a90abe1a200e390bb787a70d,2025-12-10-19-56,10.7733,106.7015,80,wmo code,Mưa rào nhẹ,28.4,°C,23.6,°C,32.5,°C,26.9,°C,2025-12-10T06:00,iso8601,2025-12-10T17:31,iso8601,7.45,1.0,mm,53,%,8.4,km/h,23.4,km/h,11,°,2025-12-10,iso8601
abfcf67d913fad9e43c3bf2068eb5422,2025-12-10-20-28,10.7376,106.8142,80,wmo code,Mưa rào nhẹ,28.4,°C,24.1,°C,32.6,°C,27.6,°C,2025-12-10T06:00,iso8601,2025-12-10T17:30,iso8601,7.45,0.8,mm,53,%,7.6,km/h,28.8,km/h,5,°,2025-12-10,iso8601
2a560a0bd3463490f2e2c465fb77b055,2025-12-10-20-29,10.7804,106.6364,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.5,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.0,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
23c3b821848dd456f7eaf4509b567d43,2025-12-10-20-33,10.8604,106.7908,3,wmo code,Trời nhiều mây,28.8,°C,23.5,°C,32.8,°C,26.6,°C,2025-12-10T06:00,iso8601,2025-12-10T17:30,iso8601,7.45,0.3,mm,53,%,9.1,km/h,24.8,km/h,10,°,2025-12-10,iso8601
7b2ff4d3d8018b40ecdeef62ff619ec6,2025-12-10-20-32,10.758,106.6997,80,wmo code,Mưa rào nhẹ,28.4,°C,23.6,°C,32.5,°C,26.9,°C,2025-12-10T06:00,iso8601,2025-12-10T17:31,iso8601,7.45,1.0,mm,53,%,8.4,km/h,23.4,km/h,11,°,2025-12-10,iso8601
04edd61439bdc3ac6e47a41f3a4f9295,2025-12-10-20-28,10.8003,106.6668,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.5,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.0,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
823a0dbc9b2b7b01d1fa23d547c80121,2025-12-10-19-57,10.7621,106.6569,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.5,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.35,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
03723a986c31cf1a234b8145447456ea,2025-12-10-20-16,10.739,106.6436,3,wmo code,Trời nhiều mây,28.9,°C,23.3,°C,32.5,°C,26.5,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.35,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
32196ce38d97227596a014fe983dc5bf,2025-12-10-20-21,10.8504,106.7545,3,wmo code,Trời nhiều mây,28.8,°C,23.5,°C,32.8,°C,26.7,°C,2025-12-10T06:00,iso8601,2025-12-10T17:30,iso8601,7.45,0.3,mm,53,%,9.1,km/h,24.8,km/h,10,°,2025-12-10,iso8601
463837a37b7889b8a27a02938ccee6d3,2025-12-10-20-35,10.7696,106.6353,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.5,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.35,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
e21729c0cd2cdefc32af516819160628,2025-12-10-20-27,10.7748,106.6578,3,wmo code,Trời nhiều mây,28.8,°C,23.2,°C,32.5,°C,26.4,°C,2025-12-10T06:01,iso8601,2025-12-10T17:31,iso8601,7.35,0.5,mm,53,%,10.0,km/h,28.4,km/h,16,°,2025-12-10,iso8601
