name,segmentId,weather_date,latitude_lookup,longitude_lookup,weathercode,weathercode_unit,weather_description,temperature_2m_max,temperature_2m_max_unit,temperature_2m_min,temperature_2m_min_unit,apparent_temperature_max,apparent_temperature_max_unit,apparent_temperature_min,apparent_temperature_min_unit,sunrise,sunrise_unit,sunset,sunset_unit,uv_index_max,precipitation_sum,precipitation_sum_unit,precipitation_probability_max,precipitation_probability_max_unit,windspeed_10m_max,windspeed_10m_max_unit,windgusts_10m_max,windgusts_10m_max_unit,winddirection_10m_dominant,winddirection_10m_dominant_unit,time,time_unit,weather_fetch_failed
Đường 19A,df23d9968bf8749d1cd7a76eb58b42bb,2025-10-01,10.9273,106.8762,80,wmo code,Mưa rào nhẹ,32.5,°C,23.9,°C,39.4,°C,29.3,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,8.9,1.9,mm,83,%,8.7,km/h,20.5,km/h,121,°,2025-10-01,iso8601,
Đường 3A,677719f01ed4f1f6df13042a3758d716,2025-10-01,10.9273,106.8762,80,wmo code,Mưa rào nhẹ,32.5,°C,23.9,°C,39.4,°C,29.3,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,8.9,1.9,mm,83,%,8.7,km/h,20.5,km/h,121,°,2025-10-01,iso8601,
Đường 5A,50e8c9f1995c819c65ed78642ff1ae60,2025-10-01,10.3744,106.3651,95,wmo code,"Dông, có sấm sét",31.9,°C,24.9,°C,39.8,°C,30.7,°C,2025-10-01T05:43,iso8601,2025-10-01T17:45,iso8601,8.95,7.8,mm,88,%,8.7,km/h,20.5,km/h,115,°,2025-10-01,iso8601,
Đường 7A,f06b8b9fe97ff224dd559376e24fd845,2025-10-01,11.1449,106.5799,80,wmo code,Mưa rào nhẹ,32.5,°C,23.9,°C,39.5,°C,29.6,°C,2025-10-01T05:42,iso8601,2025-10-01T17:44,iso8601,8.85,3.5,mm,73,%,9.4,km/h,20.2,km/h,122,°,2025-10-01,iso8601,
Đường A,7fb55038649112f1ef41cb87fbcce9f8,2025-10-01,10.8579,106.6048,95,wmo code,"Dông, có sấm sét",32.5,°C,24.1,°C,40.3,°C,29.7,°C,2025-10-01T05:42,iso8601,2025-10-01T17:44,iso8601,9.0,5.2,mm,85,%,9.4,km/h,20.9,km/h,118,°,2025-10-01,iso8601,
Đường A12,80dfc8b87cba531b6799a79456ec983d,2025-10-01,10.9462,106.8327,80,wmo code,Mưa rào nhẹ,32.3,°C,24.0,°C,39.4,°C,29.8,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,8.9,2.2,mm,68,%,9.7,km/h,20.9,km/h,133,°,2025-10-01,iso8601,
Đường A4,8de8291d1c7186b611e5f75ca2be6a54,2025-10-01,10.7903,106.7766,80,wmo code,Mưa rào nhẹ,32.6,°C,24.6,°C,39.9,°C,30.2,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,8.95,3.7,mm,78,%,9.8,km/h,21.6,km/h,123,°,2025-10-01,iso8601,
Đường A6,232d6a28a3ca7ef8528eb545d8c03a04,2025-10-01,10.7919,106.7799,80,wmo code,Mưa rào nhẹ,32.6,°C,24.6,°C,39.9,°C,30.2,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,8.95,3.7,mm,78,%,9.8,km/h,21.6,km/h,123,°,2025-10-01,iso8601,
Đường AMATA,e4a09ece1429180ce60c60378609b197,2025-10-01,10.9432,106.8802,80,wmo code,Mưa rào nhẹ,32.2,°C,23.9,°C,39.2,°C,29.6,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,8.9,2.2,mm,83,%,9.7,km/h,20.9,km/h,133,°,2025-10-01,iso8601,
Đường ASO2,efd7a5ed8e8865c45083ceb793042948,2025-10-01,10.9331,106.6552,95,wmo code,"Dông, có sấm sét",32.5,°C,24.2,°C,40.4,°C,29.8,°C,2025-10-01T05:42,iso8601,2025-10-01T17:44,iso8601,8.9,5.2,mm,68,%,9.4,km/h,20.9,km/h,118,°,2025-10-01,iso8601,
Đường C,3ecd6e7a9883d365a93c772645879068,2025-10-01,10.7235,106.728,80,wmo code,Mưa rào nhẹ,32.6,°C,24.6,°C,39.9,°C,30.2,°C,2025-10-01T05:41,iso8601,2025-10-01T17:43,iso8601,9.0,3.7,mm,78,%,9.8,km/h,21.6,km/h,123,°,2025-10-01,iso8601,
