fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
DT,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.3252862606530015,1.096551221906375,502.2228727021646,0.10031412419334587,0.13099656105924182,0.3448101265822785,1.3534177215189873,1.8545871968947905,1975,0.0,0.5751898734177215,24,1136
DT,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.3252862606530015,1.096551221906375,502.2228727021646,0.10031412419334587,0.13099656105924182,0.3448101265822785,1.3534177215189873,1.8545871968947905,1975,0.0,0.5751898734177215,24,1136
DT,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.3224992348625305,0.8840259821570531,581.2475593270914,0.19203460929169722,0.2265186857132152,0.4511392405063291,0.9681012658227848,1.4875006648227425,1975,0.0,0.3858227848101266,5,762
DT,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.32263209731110887,0.8839268353309464,581.2499598186859,0.1932081469831545,0.22863285470130615,0.45164556962025315,0.9660759493670886,1.4854569258248496,1975,0.0,0.3863291139240506,5,763
DT,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.33643490371797463,0.862389573973643,663.2847387851447,0.17679424604862673,0.2106248133354782,0.4465822784810127,0.9898734177215189,1.5176597574029913,1975,0.0,0.2977215189873418,2,588
DT,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.33643490371797463,0.862389573973643,663.2847387851447,0.17679424604862673,0.2106248133354782,0.4465822784810127,0.9898734177215189,1.5176597574029913,1975,0.0,0.2977215189873418,2,588
DT,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.3321027644527281,0.91314842727719,688.0865896283539,0.195052435114962,0.2739887946794111,0.5103797468354431,0.8718987341772152,1.428462925355056,1975,0.0,0.22025316455696203,2,435
DT,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.35517048276048946,0.8761507975756219,688.217581059147,0.1662383040051158,0.2445527504925537,0.4708860759493671,0.9103797468354431,1.4422205101855958,1975,0.0,0.25063291139240507,2,495
DT,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.36955207981486604,0.877134140406105,681.3281118855735,0.1592921297682178,0.2878211276656113,0.4891139240506329,0.8035443037974683,1.274680401740875,1975,0.0,0.2420253164556962,2,478
DT,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.36960000835671236,0.8769702205301328,681.355261944645,0.15998304262549642,0.2883867756816095,0.489620253164557,0.8020253164556962,1.2728916546811682,1975,0.0,0.2420253164556962,2,478
DT,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.378292096653344,0.9333339465300441,662.78586996041,0.1777927618082025,0.3185215115707135,0.5063291139240507,0.7346835443037975,1.1711727326147297,1975,0.0,0.22025316455696203,2,435
DT,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.3415999185306544,0.9532504088593688,663.2723451375887,0.20193979915982854,0.3627797139960603,0.5665822784810126,0.6263291139240507,1.0882572294583457,1975,0.0,0.1918987341772152,2,379
DT,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.34793294356405013,0.9950741892295945,651.2471586205861,0.21820240848392292,0.3961862950218184,0.6126582278481013,0.5488607594936709,0.9694054030399448,1975,0.0,0.1969620253164557,2,389
