fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
ET,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.27791786619458586,1.41940451159956,681.4431584155994,0.23704949607853817,0.29383613103808065,0.48253164556962025,0.8698734177215189,1.3616817598799924,1975,0.0,0.4156962025316456,507,821
ET,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.2778193517830632,1.4192672114943736,681.4415800756575,0.23694751937407288,0.29383936339884337,0.48253164556962025,0.8703797468354431,1.3629825820557435,1975,0.0,0.41620253164556964,507,822
ET,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.2849014062145403,1.4097967146217547,576.7371155849642,0.36597179467902047,0.4589034483154866,0.5918987341772152,0.5691139240506329,0.9720134395070258,1975,0.0,0.3179746835443038,248,628
ET,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.2849014062145403,1.4097967146217547,576.7371155849642,0.36597179467902047,0.4589034483154866,0.5918987341772152,0.5691139240506329,0.9720134395070258,1975,0.0,0.3179746835443038,248,628
ET,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.27034594014533686,1.3573338513847,502.3259963162279,0.35792753828706364,0.4555147293650909,0.6156962025316456,0.47848101265822784,0.8434408130173042,1975,0.0,0.22886075949367088,121,452
ET,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.2652820065804701,1.3767665897211978,502.46694827108143,0.36119423274838824,0.45507852289428735,0.6222784810126583,0.45164556962025315,0.7891671623468518,1975,0.0,0.21721518987341773,138,429
ET,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.26396918860488255,1.3296609105669495,467.98348258681955,0.2667422122819437,0.4309840363972756,0.6486075949367088,0.43291139240506327,0.7894878968296514,1975,0.0,0.20658227848101265,129,408
ET,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.26684894725568054,1.3206079359772624,468.17075414252804,0.26497045771073047,0.43081273634974826,0.6440506329113924,0.43746835443037974,0.7923686649949143,1975,0.0,0.21468354430379746,120,424
ET,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.223510785054319,1.4234501343746049,428.3567784090337,0.26070791252332504,0.4283693174232617,0.6789873417721519,0.3908860759493671,0.7401676170070012,1975,0.0,0.13569620253164558,108,268
ET,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.2493216730480677,1.337704190361409,440.021014839004,0.24544269134690572,0.4106399137472104,0.6506329113924051,0.4151898734177215,0.7510330438212373,1975,0.0,0.18430379746835443,46,364
ET,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.23873094535079775,1.3504951543811918,401.08290805113324,0.21893476910429852,0.3863380708235524,0.6415189873417722,0.49063291139240506,0.9214737782762095,1975,0.0,0.1250632911392405,52,247
ET,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.25370942042751143,1.3391112540834305,411.47057684972,0.22981353750604386,0.39966663895723964,0.6511392405063291,0.4318987341772152,0.8153588943417974,1975,0.0,0.1837974683544304,46,363
ET,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.2495446379285086,1.2983359788029238,384.55690054434865,0.24435459268884518,0.42297450428197986,0.6881012658227849,0.3908860759493671,0.7820777260734723,1975,0.0,0.11088607594936709,36,219
ET,partition,KMeans,"{'k': 15, 'n_init': 20}",15,0.24915755441035345,1.351510660411813,385.1803424513157,0.20479816746464077,0.4031226082130196,0.649620253164557,0.4010126582278481,0.7186485206291958,1975,0.0,0.17316455696202532,17,342
ET,partition,KMeans,"{'k': 17, 'n_init': 10}",17,0.24984234943911932,1.292209527039623,371.5697660768078,0.20771273746992322,0.396504749119242,0.6754430379746835,0.4430379746835443,0.8958413060188842,1975,0.0,0.11189873417721519,36,221
ET,partition,KMeans,"{'k': 17, 'n_init': 20}",17,0.2520945793529298,1.263605488432009,375.1170391904816,0.22042348705908918,0.40629988840095904,0.68,0.41620253164556964,0.823699588841847,1975,0.0,0.1210126582278481,8,239
ET,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.24765717073648666,1.317381328867079,361.16612687957144,0.18392406987662238,0.40043077355052825,0.6749367088607595,0.3670886075949367,0.6791655341555622,1975,0.0,0.09822784810126582,17,194
ET,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.2467191884223839,1.3195225254565224,364.6567471100546,0.19030735331629564,0.400849978395107,0.6860759493670886,0.38126582278481014,0.7587464678874265,1975,0.0,0.10734177215189873,17,212
ET,partition,MiniBatchKMeans,{'k': 3},3,0.27799056377341924,1.424026006115321,680.4637988790477,0.24301084612521012,0.30135914105577044,0.4870886075949367,0.859240506329114,1.3469139598318347,1975,0.0,0.41265822784810124,502,815
ET,partition,MiniBatchKMeans,{'k': 5},5,0.23186439554955574,1.6090602694942011,542.2177543073948,0.40579989140193007,0.4706726353065555,0.6344303797468355,0.49721518987341773,0.8978173251653638,1975,0.0,0.2470886075949367,307,488
ET,partition,MiniBatchKMeans,{'k': 7},7,0.21784918927226485,1.4624483112090991,467.27545119502236,0.32301262572088935,0.4558322449378637,0.649620253164557,0.44354430379746834,0.8181485736757077,1975,0.0,0.20556962025316455,172,406
ET,partition,MiniBatchKMeans,{'k': 9},9,0.21703551287173306,1.4986402135585462,411.3308641855136,0.2731941961144211,0.41278182095935234,0.640506329113924,0.49063291139240506,0.9076328929442952,1975,0.0,0.18329113924050633,67,362
