fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
RF,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.2597590359257912,1.4715758521698195,603.2123066715507,0.23453451022815847,0.28188272130444086,0.4739240506329114,0.8754430379746836,1.3670628220728083,1975,0.0,0.3969620253164557,561,784
RF,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.2597590359257912,1.4715758521698195,603.2123066715507,0.23453451022815847,0.28188272130444086,0.4739240506329114,0.8754430379746836,1.3670628220728083,1975,0.0,0.3969620253164557,561,784
RF,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.26403825465458575,1.5161484738344877,505.68962594273705,0.3729966764335747,0.4629582892043347,0.5939240506329114,0.5356962025316455,0.9167913225559697,1975,0.0,0.28405063291139243,233,561
RF,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.26458657253186496,1.5161266370575255,505.6914913856733,0.37507947896172517,0.4657467203608444,0.5939240506329114,0.5346835443037975,0.9145795187967701,1975,0.0,0.28556962025316457,232,564
RF,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.264421875095097,1.41295805445746,457.0038255474297,0.27039745433046963,0.38666188846522015,0.5853164556962025,0.5873417721518988,1.048688149758086,1975,0.0,0.22886075949367088,154,452
RF,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.264421875095097,1.41295805445746,457.0038255474297,0.27039745433046963,0.38666188846522015,0.5853164556962025,0.5873417721518988,1.048688149758086,1975,0.0,0.22886075949367088,154,452
RF,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.2724512182920386,1.3282531662145725,431.7960002048005,0.21549760108701257,0.3718215169535014,0.6136708860759493,0.5751898734177215,1.069721364406804,1975,0.0,0.21063291139240506,126,416
RF,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.2724512182920386,1.3282531662145725,431.7960002048005,0.21549760108701257,0.3718215169535014,0.6136708860759493,0.5751898734177215,1.069721364406804,1975,0.0,0.21063291139240506,126,416
RF,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.27590919567683553,1.3547867399530753,407.9165992160947,0.20246129933524282,0.38268596745435085,0.5954430379746836,0.5432911392405063,0.9410470871604484,1975,0.0,0.17518987341772152,68,346
RF,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.27808842861497957,1.316912471920264,410.56205338251004,0.20900531401893144,0.3871392312866281,0.6278481012658228,0.5017721518987341,0.9059577769801891,1975,0.0,0.17721518987341772,70,350
RF,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.27328544398247495,1.3126534996353527,393.0173956772862,0.2099694055133634,0.39295690537821676,0.6536708860759494,0.4156962025316456,0.753388967737689,1975,0.0,0.1351898734177215,48,267
RF,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.27328544398247495,1.3126534996353527,393.0173956772862,0.2099694055133634,0.39295690537821676,0.6536708860759494,0.4156962025316456,0.753388967737689,1975,0.0,0.1351898734177215,48,267
RF,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.29899392750236775,1.1936176298805303,379.25000348114537,0.1997042653334336,0.39416448875774307,0.6435443037974684,0.4567088607594937,0.8304337740991493,1975,0.0,0.14329113924050632,50,283
RF,partition,KMeans,"{'k': 15, 'n_init': 20}",15,0.29089005577834215,1.2227516013940296,382.2190819055092,0.1954060898080559,0.38857358897532335,0.6440506329113924,0.43493670886075947,0.7894878968296514,1975,0.0,0.14075949367088608,46,278
RF,partition,KMeans,"{'k': 17, 'n_init': 10}",17,0.2785269098053225,1.2275445812656196,366.5399822589056,0.20110414441300534,0.4065243320150425,0.6658227848101266,0.4040506329113924,0.7456201225078409,1975,0.0,0.13873417721518988,47,274
