fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
XGB,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.25864232681405463,1.496348126832144,523.7719317284711,0.27180253209377603,0.3486665012753033,0.5017721518987341,0.7989873417721519,1.2588924205754353,1975,0.0,0.4172151898734177,508,824
XGB,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.25864232681405463,1.496348126832144,523.7719317284711,0.27180253209377603,0.3486665012753033,0.5017721518987341,0.7989873417721519,1.2588924205754353,1975,0.0,0.4172151898734177,508,824
XGB,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.27712064795552166,1.154266042887922,507.71585462080435,0.406384508121782,0.5018154862747508,0.5934177215189873,0.5913924050632912,1.0078175442666424,1975,0.0,0.3230379746835443,2,638
XGB,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.27738650537366194,1.1533950978794938,507.7738418648468,0.40456519263337565,0.5001005027474857,0.5929113924050633,0.5913924050632912,1.0068122397328856,1975,0.0,0.32556962025316455,2,643
XGB,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.2679462246668797,1.1669398654052459,491.250177408795,0.3899680136600687,0.4856627986879273,0.6091139240506329,0.5058227848101265,0.8798734086161903,1975,0.0,0.26936708860759495,2,532
XGB,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.2679462246668797,1.1669398654052459,491.250177408795,0.3899680136600687,0.4856627986879273,0.6091139240506329,0.5058227848101265,0.8798734086161903,1975,0.0,0.26936708860759495,2,532
XGB,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.27797637361591504,1.1770647906135223,461.0041655927528,0.2889944940907314,0.4587978524434495,0.6081012658227848,0.4769620253164557,0.8273795755427592,1975,0.0,0.25924050632911394,2,512
XGB,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.27521548582918853,1.1819614123910118,461.07026969679447,0.2926911530780215,0.46826812093993087,0.6156962025316456,0.4562025316455696,0.7946020419450802,1975,0.0,0.25772151898734175,2,509
XGB,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.2707796863841975,1.1833312419158015,438.22892080850954,0.2632736155687849,0.4226724134982423,0.6156962025316456,0.48455696202531645,0.8535851421719505,1975,0.0,0.20455696202531645,2,404
XGB,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.2707796863841975,1.1833312419158015,438.22892080850954,0.2632736155687849,0.4226724134982423,0.6156962025316456,0.48455696202531645,0.8535851421719505,1975,0.0,0.20455696202531645,2,404
