fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size,gate_reason,gate_pass,silhouette_norm,davies_bouldin_norm,ARI_norm,NMI_norm,RMSE_norm,weighted_score,pareto_front
RF,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.2597590359257912,1.4715758521698195,603.2123066715507,0.23453451022815847,0.28188272130444086,0.4739240506329114,0.8754430379746836,1.3670628220728083,1975,0.0,0.3969620253164557,561,784,,True,0.5308932423846248,0.7138890088483071,0.5744607855087023,0.5599601620487565,0.42306640223618885,0.5520291630551292,False
RF,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.2597590359257912,1.4715758521698195,603.2123066715507,0.23453451022815847,0.28188272130444086,0.4739240506329114,0.8754430379746836,1.3670628220728083,1975,0.0,0.3969620253164557,561,784,,True,0.5308932423846248,0.7138890088483071,0.5744607855087023,0.5599601620487565,0.42306640223618885,0.5520291630551292,False
RF,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.26403825465458575,1.5161484738344877,505.68962594273705,0.3729966764335747,0.4629582892043347,0.5939240506329114,0.5356962025316455,0.9167913225559697,1975,0.0,0.28405063291139243,233,561,,True,0.5342453048727248,0.7045876770405575,0.9130760196892493,0.9222548095350245,0.613091872896615,0.7284750787061538,False
RF,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.26458657253186496,1.5161266370575255,505.6914913856733,0.37507947896172517,0.4657467203608444,0.5939240506329114,0.5346835443037975,0.9145795187967701,1975,0.0,0.28556962025316457,232,564,,True,0.5346748215449187,0.7045922338985692,0.9181696036273714,0.927833881822932,0.6140253076150047,0.7308800851742987,False
RF,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.264421875095097,1.41295805445746,457.0038255474297,0.27039745433046963,0.38666188846522015,0.5853164556962025,0.5873417721518988,1.048688149758086,1975,0.0,0.22886075949367088,154,452,,True,0.5345458082519171,0.7261212618771746,0.6621651711066573,0.769601539241099,0.5574282195350464,0.635021808914394,False
RF,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.264421875095097,1.41295805445746,457.0038255474297,0.27039745433046963,0.38666188846522015,0.5853164556962025,0.5873417721518988,1.048688149758086,1975,0.0,0.22886075949367088,154,452,,True,0.5345458082519171,0.7261212618771746,0.6621651711066573,0.769601539241099,0.5574282195350464,0.635021808914394,False
RF,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.2724512182920386,1.3282531662145725,431.7960002048005,0.21549760108701257,0.3718215169535014,0.6136708860759493,0.5751898734177215,1.069721364406804,1975,0.0,0.21063291139240506,126,416,,True,0.5408354750907353,0.743797320449919,0.5279051983504048,0.7399090344611291,0.5485516938890456,0.5994514603747514,False
RF,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.2724512182920386,1.3282531662145725,431.7960002048005,0.21549760108701257,0.3718215169535014,0.6136708860759493,0.5751898734177215,1.069721364406804,1975,0.0,0.21063291139240506,126,416,,True,0.5408354750907353,0.743797320449919,0.5279051983504048,0.7399090344611291,0.5485516938890456,0.5994514603747514,False
RF,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.27590919567683553,1.3547867399530753,407.9165992160947,0.20246129933524282,0.38268596745435085,0.5954430379746836,0.5432911392405063,0.9410470871604484,1975,0.0,0.17518987341772152,68,346,,True,0.5435442303591393,0.7382603436204219,0.49602435687942176,0.7616465460977806,0.6028553531743132,0.6054492509022333,False
RF,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.27808842861497957,1.316912471920264,410.56205338251004,0.20900531401893144,0.3871392312866281,0.6278481012658228,0.5017721518987341,0.9059577769801891,1975,0.0,0.17721518987341772,70,350,,True,0.5452513001416748,0.7461638754476303,0.5120280286789135,0.7705566032026143,0.6176638913325319,0.6153606822691902,False
RF,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.27328544398247495,1.3126534996353527,393.0173956772862,0.2099694055133634,0.39295690537821676,0.6536708860759494,0.4156962025316456,0.753388967737689,1975,0.0,0.1351898734177215,48,267,,True,0.5414889534055277,0.7470526298646354,0.5143857562524822,0.7821965621912689,0.6820516214365169,0.6297663805101914,False
RF,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.27328544398247495,1.3126534996353527,393.0173956772862,0.2099694055133634,0.39295690537821676,0.6536708860759494,0.4156962025316456,0.753388967737689,1975,0.0,0.1351898734177215,48,267,,True,0.5414889534055277,0.7470526298646354,0.5143857562524822,0.7821965621912689,0.6820516214365169,0.6297663805101914,False
RF,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.29899392750236775,1.1936176298805303,379.25000348114537,0.1997042653334336,0.39416448875774307,0.6435443037974684,0.4567088607594937,0.8304337740991493,1975,0.0,0.14329113924050632,50,283,,True,0.5616273124599724,0.7718928138220292,0.4892819106231545,0.7846126860221637,0.6495368484462483,0.6261105004366603,True
RF,partition,KMeans,"{'k': 15, 'n_init': 20}",15,0.29089005577834215,1.2227516013940296,382.2190819055092,0.1954060898080559,0.38857358897532335,0.6440506329113924,0.43493670886075947,0.7894878968296514,1975,0.0,0.14075949367088608,46,278,,True,0.5552792648054576,0.7658131908201947,0.4787705359136497,0.7734264553821328,0.6668169996618803,0.6227617970425021,False
RF,partition,KMeans,"{'k': 17, 'n_init': 10}",17,0.2785269098053225,1.2275445812656196,366.5399822589056,0.20110414441300534,0.4065243320150425,0.6658227848101266,0.4040506329113924,0.7456201225078409,1975,0.0,0.13873417721518988,47,274,,True,0.5455947778751208,0.76481300069297,0.49270537564139205,0.809342168347269,0.6853302621518942,0.6327643661655429,True
RF,partition,KMeans,"{'k': 17, 'n_init': 20}",17,0.30392284289093857,1.1730663483122106,376.2266400574782,0.19110362189837163,0.3929517492212866,0.6531645569620254,0.3989873417721519,0.7172380216823669,1975,0.0,0.14025316455696202,17,277,,True,0.5654883051850863,0.7761814170453158,0.4682486639921122,0.7821862457908896,0.6973081956286513,0.6316510308454607,True
RF,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.3005886099151143,1.1742075688122435,364.87144513348636,0.18472429968255757,0.3883908911119974,0.6617721518987342,0.3959493670886076,0.7228635041068405,1975,0.0,0.1351898734177215,17,267,,True,0.5628764832630986,0.7759432692734286,0.4526477547674482,0.7730609148580422,0.6949341058926817,0.6252185083058936,False
RF,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.3005886099151143,1.1742075688122435,364.87144513348636,0.18472429968255757,0.3883908911119974,0.6617721518987342,0.3959493670886076,0.7228635041068405,1975,0.0,0.1351898734177215,17,267,,True,0.5628764832630986,0.7759432692734286,0.4526477547674482,0.7730609148580422,0.6949341058926817,0.6252185083058936,False
